AppID,Name,Release date,Estimated owners,Price,Metacritic score,User score,Positive,Negative,Score rank,Recommendations,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Tags
SpiderHeck,"Sep 22, 2022",100000 - 200000,2589,0,0,0,510,56,,106,70,99,Neverjam,tinyBuild,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Full controller support,Remote Play Together","Action,Indie","Physics,Local Multiplayer,2D Fighter,Funny,Fighting,Swordplay,PvP,Parkour,Multiplayer,2D,Action,4 Player Local,Comedy,Futuristic,Co-op,Local Co-Op,Combat,Colorful,Sci-fi,Online Co-Op"
MORDHAU,"Apr 29, 2019",2000000 - 5000000,2421,0,81,0,82439,19109,,83916,3230,774,Triternion,Triternion,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud,Valve Anti-Cheat enabled,Stats,Remote Play on Phone,Remote Play on Tablet","Action,Indie","Medieval,Multiplayer,First-Person,Swordplay,Gore,PvP,Online Co-Op,Action,Fighting,PvE,Character Customization,Hack and Slash,Third Person,Team-Based,Realistic,Competitive,Historical,Indie,Survival,FPS"
Sifu,"Mar 28, 2023",50000 - 100000,2196,0,79,0,1069,72,,1076,87,95,Sloclap,"Sloclap,Kepler Interactive","Single-player,Steam Achievements,Full controller support,Steam Cloud","Action,Indie","Action,Beat 'em up,Third Person,Difficult,Martial Arts,Crime,Singleplayer,Souls-like,Action Roguelike,Swordplay,Blood,Dark,Indie,Dark Fantasy,War,Action RPG,Rogue-like,Hack and Slash,Action-Adventure,Fighting"
Ship of Fools,"Nov 22, 2022",20000 - 50000,1995,0,0,0,485,71,,503,19,19,Fika Productions,Team17,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together","Action,Indie","Co-op,Rogue-lite,Action,Multiplayer,2D,Action Roguelike,Rogue-like,Cute,Colorful,Local Co-Op,Fantasy,Online Co-Op,Local Multiplayer,Naval Combat,Singleplayer,Combat,Great Soundtrack,Indie,Naval"
Skul: The Hero Slayer,"Jan 20, 2021",1000000 - 2000000,1918,0,80,0,32454,2335,,30495,1705,809,SouthPAW Games,NEOWIZ,"Single-player,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie","Indie,Action,Action Roguelike,Pixel Graphics,Rogue-lite,2D,Rogue-like,Singleplayer,Platformer,Adventure,Difficult,Hack and Slash,Villain Protagonist,Side Scroller,Metroidvania,Action-Adventure,Fantasy,Story Rich,Cute,Multiplayer"
Trepang2,"Jun 21, 2023",20000 - 50000,1379,0,77,0,1316,59,,1395,0,0,Trepang Studios,Team17,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Action,Indie","Gore,Violent,Action,FPS,Bullet Time,First-Person,Indie,Shooter,Singleplayer,Blood,Horror,Fast-Paced,Stealth,Psychological Horror,Early Access,Great Soundtrack,Atmospheric,Sci-fi"
Pizza Tower,"Jan 26, 2023",20000 - 50000,1334,0,0,0,1375,7,,1452,0,0,Tour De Pizza,Tour De Pizza,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Action,Indie","2D Platformer,Action,Cartoony,Comedy,Platformer,Indie,Great Soundtrack,Singleplayer,Fast-Paced,Pixel Graphics,2D,Funny,Colorful,Psychological Horror"
迷宮校舎 | School Labyrinth,"Feb 21, 2024",0 - 20000,1301,0,0,0,102,14,,142,0,0,RainyDollGames,RainyDollGames,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Partial Controller Support","Action,Indie","Procedural Generation,Action,Horror,Online Co-Op,Stealth,Multiplayer,Rogue-like,Co-op,Rogue-lite,Indie,Controller,3D,Singleplayer"
A Difficult Game About Climbing,"Mar 6, 2024",50000 - 100000,1012,0,0,0,1362,176,,1561,140,226,Pontypants,Pontypants,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Indie","Difficult,Precision Platformer,Psychological Horror,Physics,Funny,Parkour,Singleplayer,Indie,Platformer,Surreal,Third Person,Philosophical,Action,Survival,Linear,Nature,2.5D,2D Platformer,2D"
MULLET MADJACK,"May 15, 2024",50000 - 100000,774,0,89,0,1494,28,,1595,0,0,HAMMER95,"Epopeia Games,HAMMER95","Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Indie","Arcade,FPS,Fast-Paced,Boomer Shooter,Action,Shooter,Singleplayer,2.5D,Indie,Anime,Stylized,Score Attack,Cyberpunk,3D,First-Person,Robots,Retro,1980s,1990's,Rogue-lite"
From Space,"Nov 3, 2022",100000 - 200000,691,0,0,0,331,187,,488,127,136,Triangle Studios,Curve Games,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Indie","Action,Co-op,Online Co-Op,Multiplayer,Adventure,Top-Down Shooter,Twin Stick Shooter,Top-Down,Action-Adventure,Action RPG,Shooter,Looter Shooter,Team-Based,Family Friendly,Atmospheric,Sci-fi,Funny,Controller,Indie,Singleplayer"
CULTIC,"Oct 13, 2022",0 - 20000,651,0,0,0,680,6,,686,0,0,Jasozz Games,3D Realms,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Action,Indie","Action,FPS,Shooter,First-Person,3D,Old School,Horror,Dark,Gore,Stylized,Retro,Violent,Combat,Singleplayer,Indie,Physics,PvE,Pixel Graphics"
ROUNDS,"Apr 1, 2021",200000 - 500000,596,0,0,0,11031,520,,9570,301,313,Landfall,Landfall,"Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Partial Controller Support,Remote Play Together","Action,Indie","Multiplayer,Fighting,Local Multiplayer,2D Fighter,Deckbuilding,Action,Indie,Physics,Rogue-lite,Card Battler,2D,Roguelike Deckbuilder,Card Game,Side Scroller,Platformer,PvP,Arcade,2D Platformer,Party Game,Twin Stick Shooter"
Crow Country,"May 9, 2024",0 - 20000,552,0,0,0,575,5,,764,0,0,SFB Games,SFB Games,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Indie","Exploration,Survival Horror,Third-Person Shooter,Female Protagonist,1990's,Action,Psychological Horror,Horror,Third Person,Story Rich,Stylized,Indie,Old School,Supernatural,Retro,Gore,Violent,RPG,Singleplayer,Puzzle"
Spelunky 2,"Sep 29, 2020",500000 - 1000000,537,0,91,0,13950,1007,,13529,1216,347,"Mossmouth,BlitWorks",Mossmouth,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Indie","Platformer,2D Platformer,Perma Death,Action Roguelike,Online Co-Op,Co-op,Difficult,Indie,Replay Value,Rogue-lite,Procedural Generation,4 Player Local,PvP,Local Co-Op,Action,Rogue-like,2D,Cute,Side Scroller,Funny"
Heavy Storm Shadow,"Apr 26, 2024",0 - 20000,508,0,0,0,0,0,,302,0,0,SmokingBear Studio,BD Games,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Indie",
RUNNING WITH RIFLES,"Apr 2, 2015",1000000 - 2000000,491,0,78,0,11623,1570,,11422,591,236,Osumia Games,Osumia Games,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","Action,Indie","Action,Shooter,Tactical,Top-Down,Multiplayer,War,Co-op,Open World,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,Massively Multiplayer,Survival,Isometric,Adventure"
TerraTech,"Aug 10, 2018",500000 - 1000000,475,0,0,0,16003,1692,,14120,2147,1149,Payload Studios,Payload Studios,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support","Action,Indie","Building,Sandbox,Open World,Open World Survival Craft,Multiplayer,Robots,Crafting,Action,Survival,Adventure,Singleplayer,Exploration,Strategy,Early Access,Indie,Physics,Shooter,Third Person,Co-op,Sci-fi"
Duck Game,"Jun 4, 2015",1000000 - 2000000,427,0,82,0,32180,1165,,21606,4498,362,Landon Podbielski,Adult Swim Games,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Indie","Multiplayer,Funny,Pixel Graphics,Local Multiplayer,Action,2D,4 Player Local,Platformer,Indie,Fast-Paced,Comedy,Shooter,Competitive,Retro,Local Co-Op,Great Soundtrack,Co-op,Memes,Casual,1980s"
"Warhammer 40,000: Darktide","Nov 30, 2022",500000 - 1000000,63616,0,0,0,4486,2104,,7260,409,318,Fatshark,Fatshark,"Multi-player,Co-op,Online Co-op,Steam Achievements,Captions available,In-App Purchases,Partial Controller Support","Action,Adventure,Indie","Warhammer 40K,PvE,FPS,Hack and Slash,Online Co-Op,Shooter,Looter Shooter,First-Person,Violent,Team-Based,Action-Adventure,RPG,Horror,Sci-fi,Dark Fantasy,Action,Co-op,Atmospheric,Combat,Survival Horror"
Content Warning,"Apr 1, 2024",0 - 20000,53471,0,0,0,37733,1824,,3518,0,0,"Skog,Zorro,Wilnyl,Philip,thePetHen",Landfall Publishing,"Multi-player,Co-op,Online Co-op,Family Sharing","Action,Adventure,Indie","Online Co-Op,Horror,Multiplayer,First-Person,Psychological Horror,Exploration,Dungeon Crawler,Co-op,Atmospheric,Survival Horror,Time Management,Action-Adventure,Sci-fi,Adventure,Investigation,Mystery,Supernatural,3D,Procedural Generation,Perma Death"
